Years,CO2,CH4,mullingar_mean_temp,mullingar_temp_anomaly,mullingar_mean_rain,mullingar_rain_anomaly,antarctic_temp_anomaly,global_temp_anomaly
-45.0,,,8.783333333333333,-0.016666666666667496,917.2,-17.09999999999991,0.2,0.11
-46.0,,1458.1,8.616666666666667,-0.18333333333333357,956.1,21.800000000000068,0.29,0.21
-46.2,335.55,,,,,,,
-46.33,332.37,,,,,,,
-47.0,,,9.0,0.1999999999999993,819.3,-115.0,0.2,-0.03
-47.43,332.37,,,,,,,
-48.0,,1420.4,9.208333333333334,0.4083333333333332,738.3,-196.0,0.18,0.01
-48.870000000000005,331.55,,,,,,,
-49.0,,1421.5,8.533333333333333,-0.2666666666666675,936.1999999999999,1.8999999999999773,0.21,-0.05
-50.0,,1385.8,9.266666666666667,0.4666666666666668,797.9,-136.39999999999998,0.3,0.2
-50.91,328.42,,,,,,,
-50.96,330.35,,,,,,,
-51.0,,1380.1,8.716666666666667,-0.08333333333333393,870.0,-64.29999999999995,-0.02,0.02
-52.0,,1357.2,9.566666666666666,0.7666666666666657,647.1,-287.19999999999993,0.18,-0.05
-52.129999999999995,326.31,,,,,,,
-52.34,326.65,,,,,,,
-52.36,324.91,,,,,,,
-52.78,324.56,,,,,,,
-53.0,,1351.7,9.141666666666667,0.3416666666666668,953.1999999999999,18.899999999999977,0.14,0.05
-53.58,324.71,,,,,,,
-54.0,,,8.783333333333333,-0.016666666666667496,747.7,-186.5999999999999,-0.08,0.09
-54.019999999999996,325.08,,,,,,,
-54.19,324.09,,,,,,,
-54.46,320.38,,,,,,,
-55.0,,,9.025,0.22499999999999964,975.0,40.700000000000045,-0.18,-0.06
-56.0,,1284.03,8.866666666666667,0.06666666666666643,1023.3,89.0,0.24,0.01
-56.21,320.49,,,,,,,
-56.45,322.17,,,,,,,
-57.0,,,9.033333333333333,0.2333333333333325,1051.4,117.10000000000014,0.17,-0.02
-57.13,320.98,,,,,,,
-57.7,319.2,,,,,,,
-57.769999999999996,319.89,,,,,,,
-58.0,,1261.3,8.341666666666667,-0.4583333333333339,1167.0,232.70000000000005,0.22,-0.06
-59.0,,1260.3,9.075,0.2749999999999986,946.3,12.0,0.03,-0.15
-59.44,319.12,,,,,,,
-59.8,319.07,,,,,,,
-60.0,,,8.091666666666667,-0.7083333333333339,854.7,-79.59999999999991,-0.08,0.08
-60.38,318.61,,,,,,,
-60.46,317.45,,,,,,,
-60.6,319.14,,,,,,,
-60.68,317.52,,,,,,,
-61.0,,,8.333333333333334,-0.4666666666666668,968.2,33.90000000000009,-0.53,0.05
-61.28,316.59,,,,,,,
-62.0,,1218.5,9.183333333333334,0.38333333333333286,914.4,-19.899999999999977,-0.02,0.06
-62.43,318.21,,,,,,,
-62.69,313.09,,,,,,,
-63.0,,,9.066666666666666,0.2666666666666657,1156.8,222.5,-0.21,0.03
-63.91,311.98,,,,,,,
-64.0,,,9.75,0.9499999999999993,871.7,-62.59999999999991,-0.1,0.07
-64.44,316.33,,,,,,,
-64.9,316.1,,,,,,,
-65.0,,,9.075000000000001,0.27500000000000036,1056.5,122.20000000000005,-0.36,0.08
-65.13,314.57,,,,,,,
-65.74,315.27,,,,,,,
-65.8,316.33,,,,,,,
-65.9,314.44,,,,,,,
-66.0,,1182.95,9.433333333333334,0.6333333333333329,911.2,-23.09999999999991,0.04,0.06
-66.84,315.34,,,,,,,
-67.0,,1173.3,8.733333333333333,-0.0666666666666682,889.4,-44.89999999999998,-0.02,-0.17
-68.0,,1142.93,9.049999999999999,0.24999999999999822,812.7,-121.59999999999991,-0.04,-0.13
-68.2,314.71,,,,,,,
-69.0,,,8.716666666666667,-0.08333333333333393,1113.1,178.79999999999995,-0.03,-0.07
-69.21,313.17,,,,,,,
-69.29,312.8,,,,,,,
-69.44,312.22,,,,,,,
-70.0,,,9.5,0.6999999999999993,769.0,-165.29999999999995,-0.08,0.13
-70.62,312.18,,,,,,,
-71.0,,,8.700000000000001,-0.09999999999999964,786.9,-147.39999999999998,0.04,0.05
-72.0,,,8.5,-0.3000000000000007,1000.5,66.20000000000005,0.01,-0.01
-72.75,312.0,,,,,,,
-73.0,,1103.3,8.725,-0.07500000000000107,992.9,58.60000000000002,0.0,-0.13
-73.33,313.66,,,,,,,
-74.0,,,,,,,-0.01,-0.06
-74.23,309.69,,,,,,,
-75.0,,,,,,,-0.07,-0.06
-75.29,311.57,,,,,,,
-76.0,,,,,,,-0.06,-0.01
-76.34,310.36,,,,,,,
-76.37,312.87,,,,,,,
-77.0,,1081.8,,,,,-0.09,-0.04
-77.38,312.56,,,,,,,
-77.44,311.97,,,,,,,
-77.61,311.81,,,,,,,
-78.0,,,,,,,-0.09,0.14
-78.04,310.44,,,,,,,
-78.24,311.28,,,,,,,
-78.49,310.22,,,,,,,
-79.0,,1082.5,,,,,-0.09,0.23
-79.43,312.36,,,,,,,
-80.0,,,,,,,-0.07,0.1
-80.79,311.88,,,,,,,
-80.96,312.84,,,,,,,
-81.0,,1069.1,,,,,-0.08,0.09
-81.22,312.39,,,,,,,
-82.0,,1058.95,,,,,-0.04,0.22
-82.16,311.8,,,,,,,
-82.25,307.74,,,,,,,
-83.0,,1059.9,,,,,-0.08,0.16
-83.03,309.8,,,,,,,
-83.41,310.95,,,,,,,
-83.78,311.21,,,,,,,
-84.0,,,,,,,-0.07,0.01
-84.03,310.46,,,,,,,
-84.84,308.48,,,,,,,
-84.87,311.94,,,,,,,
-85.0,,1053.0,,,,,-0.05,0.02
-85.13,311.52,,,,,,,
-85.23,312.33,,,,,,,
-86.0,,,,,,,-0.12,0.01
-86.14,307.41,,,,,,,
-86.40000000000009,,907.0,,,,,,
-87.0,,1045.2,,,,,-0.12,-0.12
-87.13,309.34,,,,,,,
-87.28999999999999,307.26,,,,,,,
-87.94,306.32,,,,,,,
-88.0,,,,,,,-0.18,-0.15
-89.0,,1023.2,,,,,-0.2,-0.1
-89.12,309.63,,,,,,,
-89.41,307.08,,,,,,,
-90.0,,,,,,,-0.16,-0.25
-90.22,305.94,,,,,,,
-90.46000000000001,308.28,,,,,,,
-90.71000000000001,308.26,,,,,,,
